1967,cb2b0a57-6333-11e6-b675-a45e60eb67c5,6.6,"{'Comedy'}",PG,"{'theatrical-producer','adolf-hitler','musical'}","The Producers"
1967,cb2793e6-6333-11e6-b38e-a45e60eb67c5,6.2,"{'Drama','Crime'}",R,"{'murder','true-crime','farmer'}","In Cold Blood"
1967,cb2640e1-6333-11e6-88fd-a45e60eb67c5,5.6,"{'Family','Romance','Fantasy','Music','Adventure','Comedy'}",G,"{'vegetarian','england','snail'}","Doctor Dolittle"
1967,cb2cc385-6333-11e6-bfc4-a45e60eb67c5,7.2,"{'Drama','Romance','Comedy'}",PG,"{'seduction','college','wedding'}","The Graduate"
1968,cb2e7d45-6333-11e6-8944-a45e60eb67c5,3.0,"{'Romance','Fantasy','Music','Family'}",G,"{'wish','musical','leprechaun'}","Finian's Rainbow"
1968,cb1da835-6333-11e6-8baa-a45e60eb67c5,7.0,"{'Mystery','Science Fiction','Adventure'}",G,"{'human-evolution','gorilla','bondage'}","Planet of the Apes"
1968,cb1f83c2-6333-11e6-8772-a45e60eb67c5,7.0,"{'Drama','Romance'}",PG,"{'lovers','lover-(female)','new-love'}","Romeo and Juliet"
1968,cb223cca-6333-11e6-b917-a45e60eb67c5,6.9,"{'Comedy'}",PG,"{'party','film-producer'}","The Party"
1968,cb1caee8-6333-11e6-b7d4-a45e60eb67c5,7.5,"{'Mystery','Science Fiction','Adventure'}",G,"{'artificial-intelligence','jupiter','moon'}","2001: A Space Odyssey"
1968,cb2e53b5-6333-11e6-b3c5-a45e60eb67c5,4.5,"{'Action','Drama','War','Adventure','History'}",PG-13,"{'russian','british-army','hero'}","The Charge of the Light Brigade"
1968,cb2b5602-6333-11e6-9134-a45e60eb67c5,2.0,"{'Drama','Romance','Music','Crime'}",R,"{'waitress','dancing'}","Girl in Gold Boots"
1968,cb22cd3d-6333-11e6-84ca-a45e60eb67c5,6.8,"{'Drama','Comedy'}",G,"{'roomate','apartment','friends'}","The Odd Couple"
1968,cb2e3db8-6333-11e6-94e7-a45e60eb67c5,4.8,"{'Action','Drama','Romance','Western','Crime'}",PG-13,"{'outlaw','hangman','brother'}","Bandolero!"
1968,cb1d8842-6333-11e6-96ef-a45e60eb67c5,7.1,"{'Drama','Mystery','Horror'}",R,"{'laundry','commercial','contemporary-setting'}","Rosemary's Baby"
1968,cb1db217-6333-11e6-8654-a45e60eb67c5,7.0,"{'Romance','Drama','Thriller','Crime'}",PG,"{'insurance-salesman','boredom','hold-up-robbery'}","The Thomas Crown Affair"
1968,cb28b8fd-6333-11e6-a033-a45e60eb67c5,6.7,"{'Drama','War'}",G,"{'green-beret','vietnam-war'}","The Green Berets"
1968,cb23a235-6333-11e6-8e55-a45e60eb67c5,6.9,"{'Fantasy','Animation','Music'}",G,"{'fab-four','submarine','colours'}","Yellow Submarine"
